,sentir yo,morir yo,gana morir,querer morir,sentir vacío,querer dormir,querer llorar,vida mierda,sentir triste,gana llorar,querer sentir,sentir él,gana dormir,ansiedad ansiedad,ir yo,dejar sentir,yo querer,cortar yo,dejar llorar,dejar pensar
390,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
392,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
393,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
395,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
396,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
403,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
407,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
414,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
418,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
419,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
422,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
424,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
426,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
436,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
443,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
445,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
