,sentir yo,morir yo,gana morir,querer morir,sentir vacío,querer dormir,querer llorar,vida mierda,sentir triste,gana llorar,querer sentir,sentir él,gana dormir,ansiedad ansiedad,ir yo,dejar sentir,yo querer,cortar yo,dejar llorar,dejar pensar
546,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1
548,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
549,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
552,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
555,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
557,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
558,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
559,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
560,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0
561,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
562,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1
564,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
566,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1
569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
571,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
572,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
580,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
584,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
585,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
586,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
588,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
589,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
595,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
596,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
598,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0
599,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
601,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
603,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
606,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
607,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0
609,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
611,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0
613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
616,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
617,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
628,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
631,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
633,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
634,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
635,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
642,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
643,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
645,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
649,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
651,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
654,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
656,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
658,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0
659,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
662,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
663,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
664,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
666,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
668,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
669,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
677,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
682,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0
683,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
685,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
690,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0
691,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
693,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
695,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
699,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0
702,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
703,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
704,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
705,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
707,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1
709,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
711,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
713,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
714,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
716,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
717,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
719,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
720,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
722,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
725,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1
726,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
727,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
728,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
738,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
741,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
744,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
745,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
746,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
747,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
753,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
755,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
756,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
757,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
758,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1
759,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
762,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
764,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
766,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
768,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
769,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
772,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
776,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
778,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
781,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
782,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
783,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
785,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0
786,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1
788,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0
789,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
793,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
795,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
796,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
797,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0
798,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
799,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0
803,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
804,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
805,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
806,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
808,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
809,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
810,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
811,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
812,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
813,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
814,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
815,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0
816,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
818,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
819,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
820,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
821,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
823,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
824,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
825,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
826,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
828,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
829,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
830,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
836,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
837,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
838,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
839,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
840,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
842,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
844,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
846,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
847,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
848,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0
849,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
850,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
852,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
853,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
855,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
856,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
864,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
865,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
866,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
869,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
870,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
871,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
876,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
878,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
883,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
884,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
888,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
890,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
891,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
892,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
893,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1
895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
897,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
899,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
901,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
902,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
907,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
909,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
910,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
912,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
917,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
918,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
919,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
920,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
931,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
932,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
933,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
937,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
938,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
943,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
944,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
945,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
946,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
951,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
952,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
954,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0
955,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
956,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
960,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
969,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
970,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
973,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
975,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
980,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
982,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
983,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
986,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
988,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
991,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
992,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
993,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
994,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
996,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
997,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
998,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
999,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
