Node;word;frequency_word;betweenness_centrality;clustering_coefficient;eigenvector_centrality;Class_betweenness_centralitylow;Class_betweenness_centralitymedium;Class_betweenness_centralityhigh;Class_clustering_coefficientlow;Class_clustering_coefficientmedium;Class_clustering_coefficienthigh;Class_eigenvector_centralitylow;Class_eigenvector_centralitymedium;Class_eigenvector_centralityhigh
1315;combinacion;1.0;2,63E+11;0.011904761904761906;0.006364043645023837;0;1;0;0;1;0;0;1;0
838;estudios;1.0;7,24E+10;0.01762797448534686;0.0063497234223003855;0;1;0;1;0;1;0;1;0
1191;concha;1.0;5,47E+10;0.017021541607566127;0.006327922677910618;0;1;0;1;0;1;0;1;0
1209;calle;3.0;0.0017057846972145106;0.007302585902372538;0.006312251706063491;1;0;1;0;0;1;0;1;0
795;quita;1.0;6,37E+09;0.02159622845360083;0.0062889606556413265;0;0;1;1;0;1;0;1;0
789;molesten;1.0;7,61E+10;0.015414679129423875;0.006280862378130716;0;1;0;0;1;0;0;1;0
1432;llegaria;1.0;2,33E+11;0.015147303939810078;0.006271983261879671;0;1;0;0;1;0;0;1;0
650;depreciacion;1.0;2,64E+11;0.012936194642439974;0.006245483986802102;0;1;0;0;1;0;0;1;0
646;correcto;1.0;9,96E+09;0.02052719139947326;0.0062414507840476705;0;0;1;1;0;1;0;1;0
1481;sonreir;1.0;1,65E+10;0.02369006744671258;0.006236719298300885;0;0;1;1;0;1;0;1;0
1142;viviendo;2.0;0.00019303092013346623;0.0061734022533119675;0.006229885801524988;0;1;0;0;0;1;0;1;0
1073;terapia;1.0;3,48E+09;0.016904448610693942;0.006219633822736155;0;1;0;1;0;1;0;1;0
1325;escapa;1.0;9,07E+10;0.014235718460191268;0.006217899883940268;0;1;0;0;1;0;0;1;0
1276;co;8,91E+10;0.016784992247882713;0.00621466561914989;0;1;0;1;0;1;0;1;0;
1678;pisotea;1.0;2,95E+11;0.018203972428445236;0.006212402222424039;0;1;0;1;0;1;0;1;0
986;entrenando;1.0;7,12E+09;0.016904448610693942;0.006207875665752724;0;0;1;1;0;1;0;1;0
1200;nacimientoporque;1.0;4,36E+10;0.013967627380118045;0.006189411775268993;0;1;0;0;1;0;0;1;0
101;sentis;2.0;0.0;0.027793040086117344;0.006184498891179278;0;0;1;1;0;1;0;1;0
1308;desaparezca;1.0;2,95E+11;0.014235718460191268;0.006184223339039122;0;1;0;0;1;0;0;1;0
988;bajarme;1.0;0.00031246767082603386;0.01365972051709289;0.00616654690981562;0;1;0;0;1;0;0;1;0
1306;haces;2.0;0.00017540772162683504;0.0104600524942996;0.006165726336619144;0;1;0;0;1;0;0;1;0
1120;sintiendome;1.0;1,75E+11;0.01365972051709289;0.0061569853064006065;0;0;1;0;1;0;0;1;0
169;pesadilla;2.0;6,21E+10;0.005952380952380953;0.0061476912974998245;0;1;0;0;0;1;0;1;0
642;molesto;1.0;1,18E+11;0.020989795575820095;0.00614519386398541;0;0;1;1;0;1;0;1;0
1723;solas;1.0;0.0002522088306882031;0.01365972051709289;0.006133852271682579;0;1;0;0;1;0;0;1;0
1632;cortando;1.0;8,30E+10;0.016904448610693942;0.006124565310042443;0;1;0;1;0;1;0;1;0
1365;nochemadrugada;1.0;0.00013628134714460758;0.014235718460191268;0.006123560979331493;0;1;0;0;1;0;0;1;0
768;servi;1.0;2,74E+11;0.01762797448534686;0.006120784650419909;0;1;0;1;0;1;0;1;0
225;odiar;1.0;4,64E+11;0.012936194642439974;0.0061131502624224504;0;1;0;0;1;0;0;1;0
