Node,word,frequency_word,betweenness_centrality,clustering_coefficient,eigenvector_centrality,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
739,rede,,3.2253596348514615e-05,0.01365972051709289,0.004523253640083278,0,1,0,0,1,0,0,1,0
1565,enseriodebo,1.0,1.7956860170660464e-05,0.012936194642439974,0.004522523363342325,0,0,1,0,1,0,0,1,0
926,volverlos,1.0,7.685414588510388e-05,0.011904761904761906,0.004521612724520189,0,1,0,0,1,0,0,1,0
574,dio,1.0,4.642110731008167e-05,0.011904761904761906,0.004519910144715193,0,1,0,0,1,0,0,1,0
606,podido,1.0,7.472528535428942e-05,0.012936194642439974,0.004517494129642784,0,1,0,0,1,0,0,1,0
412,intentas,1.0,2.7822304526021603e-05,0.011904761904761906,0.004516848332517263,0,1,0,0,1,0,0,1,0
1500,obj,1.0,7.097603354273626e-05,0.011904761904761906,0.004503939029843457,0,1,0,0,1,0,0,1,0
236,rostro,1.0,5.220243607846152e-05,0.01365972051709289,0.00450066476099688,0,1,0,0,1,0,0,1,0
934,sonrio,1.0,1.1833598775349419e-05,0.015873015873015876,0.00449554176678256,0,0,1,1,0,1,0,1,0
1110,progreso,1.0,2.2559459468927646e-05,0.01793588134837201,0.00449209513035722,0,1,0,1,0,1,0,1,0
1124,divirtiendose,1.0,5.885665321925321e-05,0.012936194642439974,0.004490787003408741,0,1,0,0,1,0,0,1,0
203,descansa,1.0,7.803795342642792e-06,0.01999874682372815,0.004479610831171211,0,0,1,1,0,1,0,1,0
1046,nerviosa,1.0,0.00010216312820329392,0.011904761904761906,0.004478254355612367,0,1,0,0,1,0,0,1,0
829,fracase,1.0,4.0665361558730246e-05,0.011904761904761906,0.004464896999259056,0,1,0,0,1,0,0,1,0
1676,despreciandome,1.0,7.24543876220021e-05,0.011904761904761906,0.004459588672717721,0,1,0,0,1,0,0,1,0
985,aportar,1.0,4.439756240601997e-05,0.016904448610693942,0.0044570898657911445,0,1,0,1,0,1,0,1,0
1103,poca,1.0,1.2440690772191109e-05,0.015873015873015876,0.004453812145615664,0,0,1,1,0,1,0,1,0
1447,mitad,1.0,1.7590603185802497e-05,0.018690380740780544,0.004451632520671623,0,0,1,1,0,1,0,1,0
